Family,Type,Subtype,Full Type Code,id_product_fulltype
stationery,office_electronics,scientific_calculators,stationery-office_electronics-scientific_calculators,5800
stationery,office_electronics,printing_calculators,stationery-office_electronics-printing_calculators,5799
stationery,office_electronics,presentation_remotes,stationery-office_electronics-presentation_remotes,5798
stationery,office_electronics,presentation_pointers,stationery-office_electronics-presentation_pointers,5797
stationery,office_electronics,postal_scales,stationery-office_electronics-postal_scales,5796
stationery,office_electronics,overhead_projectors,stationery-office_electronics-overhead_projectors,5795
stationery,office_electronics,laser_pointers,stationery-office_electronics-laser_pointers,5794
stationery,office_electronics,laminators,stationery-office_electronics-laminators,5793
stationery,office_electronics,label_makers,stationery-office_electronics-label_makers,5792
stationery,office_electronics,graphing_calculators,stationery-office_electronics-graphing_calculators,5791
stationery,office_electronics,financial_business_calculators,stationery-office_electronics-financial_business_calculators,5790
stationery,office_electronics,fax_machines,stationery-office_electronics-fax_machines,5789
stationery,office_electronics,electronic_white_boards,stationery-office_electronics-electronic_white_boards,5788
stationery,office_electronics,electronic_dictionaries_thesauri_translators,stationery-office_electronics-electronic_dictionaries_thesauri_translators,5787
stationery,office_electronics,copiers,stationery-office_electronics-copiers,5786
stationery,office_electronics,cash_registers,stationery-office_electronics-cash_registers,5785
stationery,office_electronics,basic_calculators,stationery-office_electronics-basic_calculators,5784
stationery,office_electronics,bar_code_scanners,stationery-office_electronics-bar_code_scanners,5783
stationery,labels_indexes_stamps,tickets,stationery-labels_indexes_stamps-tickets,5782
stationery,labels_indexes_stamps,tape_flags,stationery-labels_indexes_stamps-tape_flags,5781
stationery,labels_indexes_stamps,tab_inserts,stationery-labels_indexes_stamps-tab_inserts,5780
stationery,labels_indexes_stamps,stamps_print_kits,stationery-labels_indexes_stamps-stamps_print_kits,5779
stationery,labels_indexes_stamps,stamps,stationery-labels_indexes_stamps-stamps,5778
stationery,labels_indexes_stamps,stamp_pads_refills,stationery-labels_indexes_stamps-stamp_pads_refills,5777
stationery,labels_indexes_stamps,sign_poster_kits,stationery-labels_indexes_stamps-sign_poster_kits,5776
stationery,labels_indexes_stamps,shipping_labels,stationery-labels_indexes_stamps-shipping_labels,5775
stationery,labels_indexes_stamps,shelf_folder_label_systems,stationery-labels_indexes_stamps-shelf_folder_label_systems,5774
stationery,labels_indexes_stamps,removable_labels,stationery-labels_indexes_stamps-removable_labels,5773
stationery,labels_indexes_stamps,printer_labels_laser_inkjet,stationery-labels_indexes_stamps-printer_labels_laser_inkjet,5772
stationery,labels_indexes_stamps,pricemarker_labels,stationery-labels_indexes_stamps-pricemarker_labels,5771
stationery,labels_indexes_stamps,postage_meter_labels,stationery-labels_indexes_stamps-postage_meter_labels,5770
stationery,labels_indexes_stamps,message_labels,stationery-labels_indexes_stamps-message_labels,5769
stationery,labels_indexes_stamps,medical_labels,stationery-labels_indexes_stamps-medical_labels,5768
stationery,labels_indexes_stamps,labeling_tapes,stationery-labels_indexes_stamps-labeling_tapes,5767
stationery,labels_indexes_stamps,labeling_software,stationery-labels_indexes_stamps-labeling_software,5766
stationery,labels_indexes_stamps,label_holders,stationery-labels_indexes_stamps-label_holders,5765
stationery,labels_indexes_stamps,key_tags,stationery-labels_indexes_stamps-key_tags,5764
stationery,labels_indexes_stamps,internet_postage_labels,stationery-labels_indexes_stamps-internet_postage_labels,5763
stationery,labels_indexes_stamps,index_tabs,stationery-labels_indexes_stamps-index_tabs,5762
stationery,labels_indexes_stamps,identification_badges,stationery-labels_indexes_stamps-identification_badges,5761
stationery,labels_indexes_stamps,id_wristbands,stationery-labels_indexes_stamps-id_wristbands,5760
stationery,labels_indexes_stamps,continuous_form_labels,stationery-labels_indexes_stamps-continuous_form_labels,5759
stationery,labels_indexes_stamps,color_coding_labels,stationery-labels_indexes_stamps-color_coding_labels,5758
stationery,labels_indexes_stamps,bookmarks,stationery-labels_indexes_stamps-bookmarks,5757
stationery,labels_indexes_stamps,badge_inserts,stationery-labels_indexes_stamps-badge_inserts,5756
stationery,labels_indexes_stamps,badge_holders,stationery-labels_indexes_stamps-badge_holders,5755
stationery,labels_indexes_stamps,all_purpose_labels,stationery-labels_indexes_stamps-all_purpose_labels,5754
stationery,labels_indexes_stamps,address_labels,stationery-labels_indexes_stamps-address_labels,5753
stationery,gift_wrapping_supplies,wrapping_tissue,stationery-gift_wrapping_supplies-wrapping_tissue,5752
stationery,gift_wrapping_supplies,gift_wrap_tags,stationery-gift_wrapping_supplies-gift_wrap_tags,5751
stationery,gift_wrapping_supplies,gift_wrap_ribbons,stationery-gift_wrapping_supplies-gift_wrap_ribbons,5750
stationery,gift_wrapping_supplies,gift_wrap_paper,stationery-gift_wrapping_supplies-gift_wrap_paper,5749
stationery,gift_wrapping_supplies,gift_wrap_bows,stationery-gift_wrapping_supplies-gift_wrap_bows,5748
stationery,gift_wrapping_supplies,gift_boxes,stationery-gift_wrapping_supplies-gift_boxes,5747
stationery,gift_wrapping_supplies,gift_bags,stationery-gift_wrapping_supplies-gift_bags,5746
stationery,forms_recordkeeping_money_handling,visitor_registers,stationery-forms_recordkeeping_money_handling-visitor_registers,5745
stationery,forms_recordkeeping_money_handling,tax_forms,stationery-forms_recordkeeping_money_handling-tax_forms,5744
stationery,forms_recordkeeping_money_handling,shipping_receiving_forms,stationery-forms_recordkeeping_money_handling-shipping_receiving_forms,5743
stationery,forms_recordkeeping_money_handling,sales_invoice_forms,stationery-forms_recordkeeping_money_handling-sales_invoice_forms,5742
stationery,forms_recordkeeping_money_handling,racks,stationery-forms_recordkeeping_money_handling-racks,5741
stationery,forms_recordkeeping_money_handling,plaques,stationery-forms_recordkeeping_money_handling-plaques,5740
stationery,forms_recordkeeping_money_handling,money_rent_receipts,stationery-forms_recordkeeping_money_handling-money_rent_receipts,5739
stationery,forms_recordkeeping_money_handling,medical_insurance_forms,stationery-forms_recordkeeping_money_handling-medical_insurance_forms,5738
stationery,forms_recordkeeping_money_handling,legal_forms_kits,stationery-forms_recordkeeping_money_handling-legal_forms_kits,5737
stationery,forms_recordkeeping_money_handling,ledger_sheets,stationery-forms_recordkeeping_money_handling-ledger_sheets,5736
stationery,forms_recordkeeping_money_handling,key_tags_chains,stationery-forms_recordkeeping_money_handling-key_tags_chains,5735
stationery,forms_recordkeeping_money_handling,job_ticket_holders,stationery-forms_recordkeeping_money_handling-job_ticket_holders,5734
stationery,forms_recordkeeping_money_handling,deposit_ticket_holders,stationery-forms_recordkeeping_money_handling-deposit_ticket_holders,5733
